,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
1543,0F7pHlzV43FgZPUgfcxqlC,Don't Judge Me (feat. Future and Swae Lee),Don't Judge Me (feat. Future and Swae Lee),single,1,242880,True,1,1,4,0.7490000000000001,0.909,8,-2.8080000000000003,0.07400000000000001,0.0035399999999999997,0.0,0.337,0.39299999999999996,149.988,177.0
1544,3ncgNpxLoBQ65ABk4djDyd,PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),single,1,191251,True,1,1,4,0.9209999999999999,0.467,1,-8.443,0.11900000000000001,0.0149,0.00023799999999999998,0.33399999999999996,0.287,135.995,13.0
1545,1YZfcVLbbJwfizR5cDOp3q,MotorSport,MotorSport,single,1,307660,True,1,1,4,0.9009999999999999,0.529,2,-4.4430000000000005,0.191,0.0519,0.0,0.179,0.146,138.003,8.0
1546,4knL4iPxPOZjQzTUlELGSY,Rake It Up,I Still Am,album,13,276333,True,4,0,4,0.91,0.444,1,-8.126,0.344,0.022000000000000002,0.0,0.13699999999999998,0.53,149.953,28.0
1547,2EPbvVyo2qrrmeiEm57Cfl,Don't Judge Me (feat. Future and Swae Lee),Beach House 3,album,20,242880,True,7,1,4,0.7490000000000001,0.909,8,-2.8080000000000003,0.07400000000000001,0.0035399999999999997,0.0,0.337,0.39299999999999996,149.988,78.0
1548,270aLuFCbX32hhBr8MQyPM,Love U Better (feat. Lil Wayne & The-Dream),Beach House 3,album,20,181880,True,3,0,4,0.645,0.541,10,-6.312,0.0385,0.0802,0.0,0.325,0.41100000000000003,95.061,82.0
1549,2xmrfQpmS2iJExTlklLoAL,I Miss You (feat. Julia Michaels),I Miss You (feat. Julia Michaels),single,1,205747,False,1,1,4,0.638,0.6579999999999999,3,-6.318,0.0456,0.245,3.77e-06,0.0919,0.33,105.07600000000001,50.0
1550,5fyvUqw0Vu6qTM4DSkDUs2,Lil Favorite (feat. MadeinTYO),Beach House 3,album,20,193853,True,13,1,4,0.6890000000000001,0.769,0,-5.362,0.0329,0.0129,0.0,0.282,0.435,156.07399999999998,106.0
1551,7FzhZ7C3NhM1UyqSHV9ytY,Burning,Burning,single,1,203289,False,1,1,4,0.493,0.221,6,-9.301,0.0486,0.8740000000000001,0.0,0.285,0.353,82.273,112.0
1552,1Mb187X5w3OUQNH6P5M28Y,Ex (feat. YG),Beach House 3,album,20,163133,True,4,0,4,0.77,0.426,5,-5.7170000000000005,0.0473,0.0116,0.0,0.273,0.523,102.056,119.0
1553,2c5D6B8oXAwc6easamdgVA,Don't Sleep On Me (feat. Future and 24hrs),Beach House 3,album,20,273813,True,9,0,4,0.765,0.561,7,-7.4479999999999995,0.086,0.151,0.0,0.183,0.20199999999999999,135.031,130.0
1554,7xmaCmiSOCtQ6nFENK22br,up in this (with Tinashe),up in this (with Tinashe),single,1,204278,True,1,0,4,0.7290000000000001,0.7140000000000001,5,-6.067,0.0839,0.0483,0.0,0.128,0.49200000000000005,127.965,152.0
1555,3V35bKSSm4usoSPjdaRGMx,Gave Your Love Away,The Space Between,album,13,285160,False,2,0,4,0.826,0.47,5,-5.487,0.0343,0.025,0.00337,0.1,0.541,100.98899999999999,164.0
1556,3S2R0EVwBSAVMd5UMgKTL0,Thriller,Thriller 25 Super Deluxe Edition,album,30,357266,False,4,1,4,0.773,0.8590000000000001,11,-4.913,0.0747,0.0855,0.00018,0.914,0.813,118.458,11.0
1557,3hXGamYfZIrMsvMWLA0JXW,Never Let You Go (feat. John Newman),Never Let You Go (feat. John Newman),single,1,233567,False,1,1,4,0.742,0.745,10,-4.966,0.0831,0.0702,0.0,0.0909,0.527,123.01700000000001,191.0
1558,5j2qzYh9IuMXi5xq6Yk02Q,Issues (feat. Russ),Issues (feat. Russ),single,1,232857,True,1,1,4,0.655,0.642,9,-6.757999999999999,0.0729,0.203,2.3e-05,0.11,0.20800000000000002,83.97399999999999,198.0
1559,5PIB8aoUJoCRh1O5TEGdOj,Ghostbusters,Arista Heritage Series: Ray Parker,album,11,240800,False,4,0,4,0.779,0.7170000000000001,6,-9.7,0.0335,0.0125,0.0536,0.355,0.789,115.384,14.0
1560,0xxZY5C9xxij3D1HkzbnfC,Monster Mash,The Original Monster Mash,album,16,192040,False,1,0,4,0.541,0.504,11,-14.190999999999999,0.457,0.375,0.0,0.42100000000000004,0.7070000000000001,68.482,13.0
1561,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,Without Warning,album,10,268933,True,1,1,4,0.782,0.436,2,-7.0329999999999995,0.155,0.331,1.3000000000000001e-05,0.342,0.243,82.994,2.0
1562,7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),Without Warning,album,10,172800,True,3,1,4,0.88,0.428,9,-8.28,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007,4.0
1563,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,Without Warning,album,10,257600,True,2,1,4,0.845,0.39899999999999997,1,-7.5089999999999995,0.309,0.00525,0.74,0.102,0.14800000000000002,143.049,13.0
1564,2D2w9943rsnJOGCrI4aMQp,My Choppa Hate Niggas,Without Warning,album,10,148640,True,4,0,4,0.862,0.27399999999999997,0,-5.818,0.484,0.0974,0.185,0.183,0.146,77.493,26.0
1565,7LAhKXDNWwq3CmnFP3UIOP,Nightmare,Without Warning,album,10,147986,True,5,1,4,0.7390000000000001,0.405,0,-10.897,0.0852,0.442,0.21100000000000002,0.158,0.127,157.09,28.0
1566,3oxCefEI6Tc6Z6t20J4IvH,Disrespectful,Without Warning,album,10,160320,True,7,1,4,0.799,0.381,1,-7.147,0.46399999999999997,0.354,3.12e-06,0.135,0.0488,158.02100000000002,30.0
1567,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,Without Warning,album,10,202666,True,6,0,4,0.9,0.365,10,-6.395,0.235,0.147,0.185,0.179,0.136,135.003,34.0
1568,7vbjH8laThXpcBXeLNPm3M,Run Up the Racks,Without Warning,album,10,189800,True,8,0,4,0.825,0.364,2,-7.635,0.121,0.141,0.311,0.195,0.177,153.028,45.0
1569,7vg47qMIEdLfNdTE3WLf0T,Darth Vader,Without Warning,album,10,228893,True,10,1,4,0.7240000000000001,0.284,7,-10.494000000000002,0.392,0.557,0.0175,0.121,0.14400000000000002,150.98,56.0
1570,6m6Oy3F6GG0zRwH03rWmTv,Still Serving,Without Warning,album,10,231786,True,9,1,4,0.9259999999999999,0.544,5,-6.827000000000001,0.0727,0.413,9.54e-05,0.11199999999999999,0.6559999999999999,115.95100000000001,54.0
1571,6A4Jc8npNo79BOgsrPptLA,Somebody's Watching Me - Single Version,Scream,album,14,237760,False,4,0,4,0.767,0.7120000000000001,1,-4.128,0.0324,0.0409,8.08e-05,0.132,0.804,124.09100000000001,49.0
1572,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,Agents Of Fortune,album,10,308120,False,3,0,4,0.33299999999999996,0.927,9,-8.55,0.0733,0.0029,0.00021099999999999998,0.297,0.382,141.47,62.0
